region_id,name,level,parent
10046118,Tholey,lau,10046
11000000,"Berlin, Stadt",lau,11000
11001001,Berlin-Mitte,lau,110
11002002,Berlin-Friedrichshain-Kreuzberg,lau,110
11003003,Berlin-Pankow,lau,110
11004004,Berlin-Charlottenburg-Wilmersdorf,lau,110
11005005,Berlin-Spandau,lau,110
11006006,Berlin-Steglitz-Zehlendorf,lau,110
11007007,Berlin-Tempelhof-Schöneberg,lau,110
11008008,Berlin-Neukölln,lau,110
11009009,Berlin-Treptow-Köpenick,lau,110
11010010,Berlin-Marzahn-Hellersdorf,lau,110
11011011,Berlin-Lichtenberg,lau,110
11012012,Berlin-Reinickendorf,lau,110
12051000,"Brandenburg an der Havel, krsfr. Stadt",lau,12051
12052000,"Cottbus, krsfr. Stadt",lau,12052
12053000,"Frankfurt (Oder), krsfr. Stadt",lau,12053
12054000,"Potsdam, krsfr. Stadt",lau,12054
12060005,Ahrensfelde,lau,12060
12060012,Althüttendorf,lau,12060
12060020,Bernau bei Berlin,lau,12060
12060024,Biesenthal,lau,12060
12060034,Breydin,lau,12060
12060036,Britz,lau,12060
12060045,Chorin,lau,12060
12060052,Eberswalde,lau,12060
12060068,Friedrichswalde,lau,12060
12060092,Hohenfinow,lau,12060
12060096,Hohensaaten,lau,12060
12060100,Joachimsthal,lau,12060
12060128,"Liepe, b Eberswalde",lau,12060
12060149,Lunow-Stolzenhagen,lau,12060
12060154,Marienwerder,lau,12060
12060161,Melchow,lau,12060
12060172,Niederfinow,lau,12060
12060176,Oderberg,lau,12060
12060181,Panketal,lau,12060
12060185,Parsteinsee,lau,12060
12060192,Rüdnitz,lau,12060
12060198,Schorfheide,lau,12060
12060250,Sydower Fließ,lau,12060
12060269,Wandlitz,lau,12060
12060280,Werneuchen,lau,12060
12060296,Ziethen,lau,12060
12061005,Alt Zauche-Wußwerk,lau,12061
12061017,Bersteland,lau,12061
12061020,Bestensee,lau,12061
12061061,Byhleguhre-Byhlen,lau,12061
12061097,Drahnsdorf,lau,12061
12061112,Eichwalde,lau,12061
12061164,Golßen,lau,12061
12061192,Groß Köris,lau,12061
12061216,Halbe,lau,12061
12061217,Heidesee,lau,12061
12061219,Heideblick,lau,12061
12061224,Jamlitz,lau,12061
12061244,Kasel-Golzig,lau,12061
12061260,Königs Wusterhausen,lau,12061
12061265,Krausnick-Groß Wasserburg,lau,12061
12061308,Lieberose,lau,12061
12061316,Lübben (Spreewald),lau,12061
12061320,Luckau,lau,12061
12061328,Märkisch Buchholz,lau,12061
12061329,Märkische Heide,lau,12061
12061332,"Mittenwalde, Mark",lau,12061
12061344,"Münchehofe, b Königs Wusterhausen",lau,12061
12061352,Neu Zauche,lau,12061
12061405,Rietzneuendorf-Staakow,lau,12061
12061428,Schlepzig,lau,12061
12061433,Schönefeld,lau,12061
12061435,"Schönwald, b Lübben",lau,12061
12061444,"Schulzendorf, b Eichwalde",lau,12061
12061448,"Schwerin, b Königs Wusterhausen",lau,12061
12061450,Schwielochsee,lau,12061
12061470,Spreewaldheide,lau,12061
12061471,Steinreich,lau,12061
12061476,Straupitz,lau,12061
12061492,Teupitz,lau,12061
12061510,Unterspreewald,lau,12061
12061540,Wildau,lau,12061
12061572,Zeuthen,lau,12061
12062024,Bad Liebenwerda,lau,12062
12062088,Crinitz,lau,12062
12062092,Doberlug-Kirchhain,lau,12062
12062124,Elsterwerda,lau,12062
12062128,Falkenberg/Elster,lau,12062
12062134,Fichtwald,lau,12062
12062140,Finsterwalde,lau,12062
12062177,Gorden-Staupitz,lau,12062
12062196,Gröden,lau,12062
12062208,Großthiemig,lau,12062
12062219,"Heideland, NL",lau,12062
12062224,Herzberg (Elster),lau,12062
12062232,"Hirschfeld, b Elsterwerda",lau,12062
12062237,Hohenbucko,lau,12062
12062240,Hohenleipisch,lau,12062
12062282,Kremitzaue,lau,12062
12062289,Lebusa,lau,12062
12062293,Lichterfeld-Schacksdorf,lau,12062
12062333,Massen-Niederlausitz,lau,12062
12062336,Merzdorf,lau,12062
12062341,Mühlberg/Elbe,lau,12062
12062372,Plessa,lau,12062
12062410,Röderland,lau,12062
12062417,"Rückersdorf, b Doberlug-Kirchhain",lau,12062
12062425,Sallgast,lau,12062
12062440,Schilda,lau,12062
12062445,Schlieben,lau,12062
12062453,"Schönborn, NL",lau,12062
12062461,Schönewalde,lau,12062
12062464,Schraden,lau,12062
12062469,Sonnewalde,lau,12062
12062492,Tröbitz,lau,12062
12062500,Uebigau-Wahrenbrück,lau,12062
12063036,Brieselang,lau,12063
12063056,Dallgow-Döberitz,lau,12063
12063080,Falkensee,lau,12063
12063088,Friesack,lau,12063
12063094,Gollenberg,lau,12063
12063112,Großderschau,lau,12063
12063134,Havelaue,lau,12063
12063142,Wiesenaue,lau,12063
12063148,Ketzin,lau,12063
12063161,Kleßen-Görne,lau,12063
12063165,Kotzen,lau,12063
12063186,Märkisch Luch,lau,12063
12063189,Milower Land,lau,12063
12063202,Mühlenberge,lau,12063
12063208,Nauen,lau,12063
12063212,Nennhausen,lau,12063
12063228,Paulinenaue,lau,12063
12063240,Pessin,lau,12063
12063244,Premnitz,lau,12063
12063252,Rathenow,lau,12063
12063256,"Retzow, b Nauen",lau,12063
12063260,Rhinow,lau,12063
12063273,Schönwalde-Glien,lau,12063
12063274,Seeblick,lau,12063
12063293,Stechow-Ferchesar,lau,12063
12063357,Wustermark,lau,12063
12064009,Alt Tucheband,lau,12064
12064029,Altlandsberg,lau,12064
12064044,Bad Freienwalde (Oder),lau,12064
12064053,Beiersdorf-Freudenberg,lau,12064
12064057,Bleyen-Genschmar,lau,12064
12064061,Bliesdorf,lau,12064
12064084,Buckow (Märkische Schweiz),lau,12064
12064125,Falkenberg,lau,12064
12064128,"Falkenhagen, b Seelow",lau,12064
12064130,Fichtenhöhe,lau,12064
12064136,Fredersdorf-Vogelsdorf,lau,12064
12064153,Garzau-Garzin,lau,12064
12064172,Golzow,lau,12064
12064190,Gusow-Platkow,lau,12064
12064205,Heckelberg-Brunow,lau,12064
12064222,Höhenland,lau,12064
12064227,Hoppegarten,lau,12064
12064266,Küstriner Vorland,lau,12064
12064268,Lebus,lau,12064
12064274,Letschin,lau,12064
12064288,Lietzen,lau,12064
12064290,Lindendorf,lau,12064
12064303,Märkische Höhe,lau,12064
12064317,Müncheberg,lau,12064
12064336,Neuenhagen bei Berlin,lau,12064
12064340,Neuhardenberg,lau,12064
12064349,Neulewin,lau,12064
12064365,Neutrebbin,lau,12064
12064370,Oberbarnim,lau,12064
12064371,Oderaue,lau,12064
12064380,Petershagen/Eggersdorf,lau,12064
12064388,Podelzig,lau,12064
12064393,Prötzel,lau,12064
12064408,Rehfelde,lau,12064
12064417,Reichenow-Möglin,lau,12064
12064420,Reitwein,lau,12064
12064428,Rüdersdorf bei Berlin,lau,12064
12064448,Seelow,lau,12064
12064472,Strausberg,lau,12064
12064480,Treplin,lau,12064
12064482,Vierlinden,lau,12064
12064484,Waldsieversdorf,lau,12064
12064512,Wriezen,lau,12064
12064538,Zechin,lau,12064
12064539,Zeschdorf,lau,12064
12065036,Birkenwerder,lau,12065
12065084,Fürstenberg/Havel,lau,12065
12065096,Glienicke/Nordbahn,lau,12065
12065100,Gransee,lau,12065
12065117,Großwoltersdorf,lau,12065
12065136,Hennigsdorf,lau,12065
12065144,Hohen Neuendorf,lau,12065
12065165,Kremmen,lau,12065
12065180,Leegebruch,lau,12065
12065193,Liebenwalde,lau,12065
12065198,Löwenberger Land,lau,12065
12065225,Mühlenbecker Land,lau,12065
12065251,Oberkrämer,lau,12065
12065256,Oranienburg,lau,12065
